,resource_name,type,details,ownership_status,format,format_details,storage_location,storage_location_details,private_public,agency,Respondent Full Name,size,collection_method,Imagery,Continuous,Observational,collection_method_details,name,name2,data_type
417,Zillow,dataset,"Utilized by SITC.
https://www.zillow.com/

Property purchase dates, etc.",opensource,other,unknown,other,Internet site,public,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,unknown,Zillow,Zillow,Boundary
66,Yield dataset,dataset,yield data from commercial rice and cotton farms,shared,excel,NA,other,back up copies in external and internal drives,hybrid,ARS,Adviento-Borbe_Arlene,1tb,observational,FALSE,FALSE,TRUE,NA,Yield dataset,Yield dataset,Yield
64,WQ data,dataset,"rawdata concentrations of ammonium, nitrate nitrite, phosphorus, Total N, Total, total soluble solids, total dissolved solids, soil sediment concentrations, pH, salinity, conductivity, hardness in water quality samples from agricultural fields in Northeast Arkansas",shared,excel,NA,other,two backup copies in external and internal drives,hybrid,ARS,Adviento-Borbe_Arlene,1tb,observational,FALSE,FALSE,TRUE,NA,WQ data,WQ data,Water
147,WISKI Database Management System (Kisters North America),dataset,"The WISKI relational database system (MS SQL/Oracle) solution Water Information Systems by KISTERS (WISKI) enhances the collection, management, reporting, and advanced development of water networks. The comprehensive software efficiently streamlines all tasks of the process chain: from data acquisition and storage, to data validation and analyses, to reporting and collaboration. This commercial off-the-shelf solution is often configured to distinct needs of organizations and their water management priorities, so you aren't waiting and paying unnecessarily for tested and proven tools and functionalities. Kisters also offers management modules for biology/ecology. More details at website https://www.kisters.net/NA/products/wiski/",commercial,database,NA,server,USDA CEC has indicated they will no longer allow the purchase and operation of locally-owned servers. I do not know how this will impact our ability to continue using this application.,private,ARS,Strickland_Tim,unknown,"continuous,imagery,observational,other",TRUE,TRUE,TRUE,"All of the above in addition to interfaces with other proprietary software (e.g. Campbell Loggernet), locally written and maintained source code, and dedicated immagery servers.",WISKI,WISKI,Water
334,WISKI,dataset,database for water quality data,commercial,database,NA,local,NA,private,ARS,Moore_Matt,1tb,observational,FALSE,FALSE,TRUE,NA,WISKI,WISKI,Water
413,Whooster,dataset,"Utilized by SITC.
https://www.whooster.com/",commercial,other,unknown,other,Internet site,private,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,unknown,Whooster,Whooster,NA
416,Whooster,dataset,"Utilized by SITC.
whooster.com",commercial,other,unknown,other,Internet site,private,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,unknown,Whooster,Whooster,NA
347,"Weighing Lysimeter Data for The Bushland, Texas Maize for Grain Datasets",dataset,"Weighing Lysimeter Data for The Bushland, Texas Maize for Grain Datasets
https://doi.org/10.15482/USDA.ADC/1526333
This dataset consists of six years of weighing lysimeter data for six seasons of maize grown for grain at the USDA-ARS Conservation and Production Laboratory (CPRL), Soil and Water Management Research Unit (SWMRU), Bushland, Texas (Lat. 35.186714°, Long. -102.094189°, elevation 1170 m above MSL) for 1989, 1990, 1994, 2013, 2016, and 2018. Maize was grown on four large, precision weighing lysimeters, each in the center of a 4.44 ha square field. The weighing lysimeters were used to measure mass, which was converted to relative soil water storage with 0.05 mm accuracy at 5-minute intervals, and the 5-minute change in soil water storage was used along with precipitation and irrigation amounts to calculate crop evapotranspiration (ET), which is reported at 15-minute intervals. Although a quality control process was used, the ET data in this dataset are considered raw data. Advanced algorithms for detection of precipitation, dew and frost were applied in a separate process to determine ET values that are reported in files in a dataset entitled ""Evapotranspiration and Water Balance Data for The Bushland, Texas Maize for Grain Datasets"". Those files have ""water-balance"" in their names. Each lysimeter was equipped with a suite of instruments to sense wind speed, air temperature and relative humidity, components of the radiation balance (e.g., net radiation, incoming and reflected shortwave, photosynthetically active radiation (PAR), incoming and reflected longwave, thermal infrared emitted by the plant/soil surface), soil heat flux, soil temperature, and soil volumetric water content at certain depths. Not all properties were always sensed in any one year; and instruments used changed from season to season, which are reasons that subsidiary datasets and data dictionaries for each season are required.
These datasets originate from research aimed at determining crop water use (ET), crop coefficients for use in ET-based irrigation scheduling based on a reference ET, crop growth, yield, harvest index, and crop water productivity as affected by irrigation method, timing, amount (full or some degree of deficit), agronomic practices, cultivar, and weather. Prior publications have focused on maize ET, crop coefficients, and crop water productivity. Crop coefficients have been used by ET networks. The data have utility for testing simulation models of crop ET, growth, and yield and have been used by the Agricultural Model Intercomparison and Improvement Project (AgMIP), by OPENET, and by many others for testing, and calibrating models of ET that use satellite and/or weather data.",opensource,excel,Excel,server,Data are on the USDA ARS NAL Ag Data Commons,public,ARS,Evett_Steven,100gb,continuous,FALSE,TRUE,FALSE,NA,"Weighing Lysimeter Data for The Bushland, Texas Maize for Grain Datasets","Weighing Lysimeter Data for The Bushland, Texas Maize for Grain Datasets",Soil Water
342,"Weighing Lysimeter Data for The Bushland, Texas Alfalfa Datasets",dataset,"Weighing Lysimeter Data for The Bushland, Texas Alfalfa Datasets
https://doi.org/10.15482/USDA.ADC/1526357
This dataset consists of four years of weighing lysimeter data for alfalfa grown at the USDA-ARS Conservation and Production Laboratory (CPRL), Soil and Water Management Research Unit (SWMRU), Bushland, Texas (Lat. 35.186714°, Long. -102.094189°, elevation 1170 m above MSL) in 1996 through 1999. Alfalfa was grown on two large, precision weighing lysimeters, each in the center of a 4.44 ha square field. The weighing lysimeters were used to measure mass, which was converted to relative soil water storage with 0.05 mm accuracy at 5-minute intervals, and the 5-minute change in soil water storage was used along with precipitation and irrigation amounts to calculate crop evapotranspiration (ET), which is reported at 15-minute intervals. Although a quality control process was used, the ET data in this dataset are considered raw data. Advanced algorithms for detection of precipitation, dew and frost were applied in a separate process to determine ET values that are reported in files in a dataset entitled ""Evapotranspiration and Water Balance Data for The Bushland, Texas Alfalfa Datasets"". Those files have ""water-balance"" in their names. Each lysimeter was equipped with a suite of instruments to sense wind speed, air temperature and relative humidity, components of the radiation balance (e.g., net radiation, incoming and reflected shortwave, photosynthetically active radiation (PAR), incoming and reflected longwave, thermal infrared emitted by the plant/soil surface), soil heat flux, soil temperature, and soil volumetric water content at certain depths. Not all properties were always sensed in any one year; and instruments used changed from season to season, which are reasons that subsidiary datasets and data dictionaries for each season are required.
These datasets originate from research aimed at determining crop water use (ET), reference ""tall crop"" ET, crop coefficients for use in ET-based irrigation scheduling based on a reference ET, crop growth, yield, harvest index, and crop water productivity as affected by irrigation method, timing, amount (full or some degree of deficit), agronomic practices, cultivar, and weather. Prior publications have focused on alfalfa ET, reference ET, crop coefficients, and crop water productivity. Crop coefficients have been used by ET networks. The data have utility for testing simulation models of crop ET, reference ""tall crop"" ET, growth, and yield and have been used by both USDA and university researchers.",opensource,excel,Excel,server,Data are on the USDA ARS NAL Ag Data Commons,public,ARS,Evett_Steven,100gb,continuous,FALSE,TRUE,FALSE,NA,"Weighing Lysimeter Data for The Bushland, Texas Alfalfa Datasets","Weighing Lysimeter Data for The Bushland, Texas Alfalfa Datasets",Soil Water
115,Plant Stress & Water Conservation Meteorological Tower,dataset,"We built a 10-m meteorological tower at the Plant Stress and Water Conservation Lab, 3810 4th Street, Lubbock, Texas.  We have collected five-minute, hourly, and daily weather data from 2000 to the present.  These data are shared freely with USDA-ARS scientists, university researchers, and anyone else in the world through our website:

https://www.ars.usda.gov/plains-area/lubbock-tx/cropping-systems-research-laboratory/wind-erosion-and-water-conservation-research/docs/pswc-met-tower-data/

",owned,excel,Comma-delimited text and html.,server,All data was stored and automatically updated each hour on a server that was located in our lab but the ARS IT staff forced us to shutdown our server.  Now a portion of the data are stored and manually updated on the ARS server and a portion is archived on a Mendeley Data site.,public,ARS,Stout_John,100gb,continuous,FALSE,TRUE,FALSE,NA,weather,weather,Weather
