,name,type,details,ownership_status,app_type,private_public,agency,Respondent Full Name,app_details
1,AGOL -  ArcGIS Online,ots,"AGOL is an online information sharing, web application development and analysis, and data repository for individual, group and enterprise data that can be shared internally or publicly.  The Forest Service uses this platform for multiple data formats and web applications, shared across the organization and partnerships, as well as with the public.  

Website definition:  ArcGIS Online enables you to connect people, locations, and data by using interactive maps. Work with smart, data-driven styles and intuitive analysis tools that deliver location intelligence. Share your insights with the world or specific groups.",commercial,webapp,hybrid,FS,Reid_Shawna,NA
2,ArcGIS Pro,ots,"ArcGIS Pro is a powerful single desktop GIS application, is a feature-packed software developed with enhancements and ideas from the ArcGIS Pro user community. ArcGIS Pro supports data visualization; advanced analysis; and authoritative data maintenance in 2D, 3D, and 4D. It supports data sharing across a suite of ArcGIS products such as ArcGIS Online and ArcGIS Enterprise, and enables users to work across the ArcGIS system through Web GIS.",commercial,desktop,hybrid,FS,Reid_Shawna,NA
3,ArcGIS Desktop,ots,"ArcGIS Desktop is a foundational piece for GIS professionals to create, analyze, manage, and share geographic information so decision-makers can make intelligent, informed decisions. It allows you to create maps, perform spatial analysis, and manage data. You can import multiple data formats and use powerful analytical tools and workflows to identify spatial patterns, trends, and non-obvious relationships.",commercial,desktop,hybrid,FS,Reid_Shawna,NA
4,ERDAS Imagine,ots,"ERDAS IMAGINE is easy-to-use, raster-based software designed specifically to extract information from images. 
Imagery and LiDAR are the primary sources of data for mapping and managing features or resources.  For organizations with extensive collections of geospatial data, ERDAS IMAGINE supports enterprise-enabled geospatial image processing that utilizes a centralized relational database to store geospatial information.
ERDAS IMAGINE is the most powerful package for derived information (data production), supporting multiple workflows, including:

• Data conversion

• Orthorectification

• Color balancing, mosaicking, and compression

• Land-cover mapping and terrain categorization

• LiDAR editing and classification

• Map and report generation and printing through the map composer, PowerPoint®, or Word

• Feature capture and update

• Spatial modeling and analysis

• Terrain creation, editing, and analysis",commercial,desktop,hybrid,FS,Reid_Shawna,NA
5,SyncroSim,ots,Spatially explicity state and transition modelling platform.  I use it for vegetation simulations.,freeware,desktop,public,FS,Anderson_David,NA
6,DSSAT Cropping System Model,ots,"Comprehensive suite of crop growth modeling software

https://github.com/DSSAT/dssat-csm-os",opensource,desktop,public,ARS,Thorp_Kelly,NA
7,QGIS,ots,"Open-source GIS software

https://qgis.org/en/site/",opensource,desktop,public,ARS,Thorp_Kelly,NA
8,Microsoft Applications,ots,"Use word, excel, teams programs.",owned,desktop,private,AMS,Smit_Tiffany,NA
9,R,ots,R statistical package for analyzing datasets,opensource,desktop,public,ARS,Winzeler_Edwin,NA
10,Arc Map Pro,ots,GADAS,owned,dashboard,public,FAS,McWilliams_Denise,NA
11,ArcGIS Online,ots,"https://ruraldevelopment.maps.arcgis.com/home/index.html
",commercial,webapp,hybrid,RD,Cherniss_Jerad,NA
12,ArcGIS,ots,Geographical Information System,commercial,desktop,private,ARS,Langendoen_Eddy,NA
13,QGis,ots,Geographical Information Sytem,opensource,desktop,private,ARS,Langendoen_Eddy,NA
14,OnX App,ots,"a mobile app that shows ownership names.  We have purchased a license for Idaho, but they have coverage for the whole US.  https://www.onxmaps.com/",commercial,input,private,NRCS,Buehler_Eric,NA
15,Avenza Maps App,ots,"Mobile app for data collection which allows users to create their own pdf maps and then use them in the app.  Great for NRCS planners and field workers.
https://www.avenzamaps.com/",commercial,input,private,NRCS,Buehler_Eric,NA
16,Esri software,ots,"Many different Esri products for mapping potentially mobile data collection.
https://www.esri.com/",commercial,desktop,private,NRCS,Buehler_Eric,NA
17,R,ots,r-project.org,opensource,desktop,public,ARS,Goslee_Sarah,NA
18,GRASS GIS,ots,GIS software https://grass.osgeo.org/,opensource,desktop,public,ARS,Goslee_Sarah,NA
19,postgreSQL,ots,https://www.postgresql.org/ relational database,opensource,networked,public,ARS,Goslee_Sarah,NA
20,Arc GIS Online (AGOL),ots,https://usfs.maps.arcgis.com/,owned,webapp,public,FS,Shipley_Doug,NA
21,Spatial analysis software,ots,ESRI Arc GIS,commercial,desktop,private,ARS,Owens_Phillip,NA
22,Microsoft Excel for Windows 10,ots,Database spreadsheet software,commercial,desktop,private,ARS,Moran_Patrick,NA
23,SAS/STAT,ots,Statistical software,commercial,desktop,private,ARS,Moran_Patrick,NA
24,Citrix Workspace,ots,Virtual desktop application.,commercial,desktop,private,FPAC,Blankley_Brent,NA
25,ESRI ArcGIS Pro,ots,GIS Software,commercial,desktop,public,FPAC,Blankley_Brent,NA
26,IrfanView,ots,Imagery viewer software.,opensource,desktop,public,FPAC,Blankley_Brent,NA
27,Google Earth Pro,ots,Imagery viewing software.,commercial,desktop,public,FPAC,Blankley_Brent,NA
28,Box,ots,File transfer application that is used to transfer aerial imagery to customers.,commercial,desktop,hybrid,FPAC,Blankley_Brent,NA
29,Google Earth Engine,ots,"Google Earth Engine is a spatial data aggregation system that allows access and analysis of a variety of publicly available satellite and spatial data. It provides an API that facilitates the development of application and analyses using Python or JavaScript programming languages. https://earthengine.google.com/
While many features of GEE are freely available to users, some are only limited to paying customers.",commercial,webapp,public,ARS,Nouwakpo_Kossi,NA
30,Google Earth,ots,Used to determine areas of interest,opensource,desktop,public,ARS,Anderson_William,NA
31,SAS,ots,analyze data,commercial,desktop,private,ARS,adamczyk_John,NA
32,Agricultural models,ots,Agricultural models estimate items of interest such as nitrate loss in runoff or crop production based on user input such as weather and field operations.,opensource,desktop,public,ARS,Malone_Robert,NA
33,PC,ots,Microsoft Excel,commercial,desktop,private,ARS,Shackelford_Steven,NA
34,APEX,ots,"This is an agricultural system model developed by Texas A&M University at Temple, Texas. It is open source. https://epicapex.tamu.edu/",shared,desktop,public,ARS,Ma_Liwang,NA
35,softwares/programs,ots,Softwares such as Qiime,opensource,desktop,public,ARS,Proszkowiec-Weglarz_Monika,NA
36,software,ots,Galaxy,opensource,webapp,public,ARS,Proszkowiec-Weglarz_Monika,NA
37,softwares,ots,"SAS, Microsoft office, EndNote, CLC workbench",commercial,desktop,public,ARS,Proszkowiec-Weglarz_Monika,NA
38,program,ots,R studio,opensource,desktop,public,ARS,Proszkowiec-Weglarz_Monika,NA
39,SAS,ots,Statistical analyses,commercial,desktop,private,ARS,Polley_Wayne,NA
40,ArcMap,ots,Used for geospatial processing of remote sensing signals,commercial,desktop,private,ARS,Polley_Wayne,NA
41,Microsoft Excel,ots,"Data spreadsheet program used to store, organize, and analyze data sets.",commercial,desktop,public,ARS,Tarkalson_David,NA
