,x,name,type
361,"•	Meals for Kids Sites",Meals for Kids,
363,"•	SNAP Retailer data",SNAP Retailer,
322,12 Most Economically Damaging Grasshopper Species Data and Models,12 Most Economically Damaging Grasshopper Species Data and Models,
16,1939 Francis Marion historical aerial imagery mosiac,1939 Francis Marion historical aerial imagery mosiac,
17,2011 Francis Marion National Forest Lidar Height Model,2011 Francis Marion National Forest Lidar Height Model,
27,303D and 303B water quality layers,303D and 303B water quality layers,
210,Access Database,Access Database,
409,ACCIR and Manuals,ACCIR and Manuals,
13,ACE,ACE,
402,ACE,ACE,
259,Aceria salsolae performance on nontarget plants in the laboratory and in the field,Aceria salsolae performance on nontarget plants in the laboratory and in the field,
288,Aerial imagery and satellite imagery,Aerial imagery and satellite imagery,
135,AERMOD Meteorological NWS sounding data,AERMOD Meteorological NWS sounding data,
134,AERMOD Meteorological Surface Data,AERMOD Meteorological Surface Data,
89,Ag CROS,AgCROS,
95,Ag Data Commons,Ag Data Commons,
131,Ag Data Commons,Ag Data Commons,
11,AgCROS,AgCROS,
85,AgCROS,AgCROS,
289,AgCROS,AgCROS,
355,AgCros,AgCROS,
108,AgCROS Data,AgCROS,
76,AGRICOLA,AGRICOLA,
10,Agricultural Collaborative Research Outcomes System (AgCROS),AgCROS,
197,AgriMet,AgriMet,
350,"Agronomic Calendars for the Bushland, Texas Maize for Grain Datasets","Agronomic Calendars for the Bushland, Texas Maize for Grain Datasets",
335,"Agronomic Calendars for the Bushland, Texas Winter Wheat Datasets","Agronomic Calendars for the Bushland, Texas Winter Wheat Datasets",
264,ALB Program Database,ALB Program Database,
286,All NASS Data,All NASS Data,
80,Ameriflux,Ameriflux,
326,Ameriflux network,Ameriflux,
103,"AmeriFlux, FluxNet",Ameriflux,
21,Animal Observations and Species of Greatest Conservation Need (SGCN) and habitat areas,Animal Observations and Species of Greatest Conservation Need (SGCN) and habitat areas,
110,Animal-Genetic Resource Information Network,Animal-Genetic Resource Information Network,
202,APHIS e-file,APHIS e-file,
73,ARC GIS,ArcGIS,
187,ArcGIS,ArcGIS,
194,ArcGIS,ArcGIS,
315,ArcGIS,ArcGIS,
192,"ArcGIS Collector, Survey 123 and Field Maps",ArcGIS,
5,ArcGIS Field Maps,ArcGIS,
185,ArcMap / Arc GIS Pro,ArcGIS,
143,ARIS,ARIS,
429,ARIS,ARIS,
191,ARM,ARM,
201,ARM,ARM,
247,ARM,ARM,
243,ARM Application and Data Mart,ARM,
234,ARMS Farm Financial and Crop Production Practices data,ARM,
151,ARS Micronet,ARS Micronet,
157,AWIS (Agricultural  Weather Information Service),AWIS (Agricultural  Weather Information Service),
330,Axon,Axon,
121,Bibliography of Aeolian Research,Bibliography of Aeolian Research,
116,Big Spring Meteorological Tower,Big Spring Meteorological Tower,
320,Biosafety Clearing-House (BCH),Biosafety Clearing-House (BCH),
419,Bizapedia,Bizapedia,
180,Boundaries and fencelines of pastures/allotments,Boundaries and fencelines of pastures/allotments,
311,BOX,BOX,
216,BugGuide.net,BugGuide.net,
71,Cattle and Sheep WGS,Cattle and Sheep WGS,
411,CBP Automated Targeting System (ATS),CBP Automated Targeting System (ATS),
399,Clear,Clear,
99,Climate data,Climate data,Climate data
213,"Climate data sets (NOAA temeprature, wind, precipitation, humidity, solar radiation)","Climate data sets (NOAA temeprature, wind, precipitation, humidity, solar radiation)",Climate data
321,ClimateNA,ClimateNA,Climate data
356,Cognos,Cognos,
198,Collected data set of canopy temperature,Collected data set of canopy temperature,
54,Common Land Unit (CLU) Dataset,Common Land Unit (CLU) Dataset,
9,common land units,Common Land Unit (CLU) Dataset,
189,Common land units,Common Land Unit (CLU) Dataset,
7,Computer,Computer,
260,Conditions to terminate reproductive diapause of Ceratapion basicorne,Conditions to terminate reproductive diapause of Ceratapion basicorne,
8,Conservation Desktops,Conservation Desktops,
58,Conservation Easements,Conservation Easements,
186,CoreOne/Surveillance Collaboration System,CoreOne/Surveillance Collaboration System,
159,CosmosID,CosmosID,
133,Cotton Classification Data,Cotton Classification Data,
325,Country Crop Production Maps,Country Crop Production Maps,
59,Crop Data Layer,Cropland Data Layer,
284,Crop Data Layer,Cropland Data Layer,
220,Crop Sequence Boundaries (CSB),Crop Sequence Boundaries (CSB),
34,Cropland Data Layer,Cropland Data Layer,
100,Cropland Data Layer,Cropland Data Layer,
212,Cropland Data Layer,Cropland Data Layer,
227,Cropland Data Layer,Cropland Data Layer,
397,cropland data layer,Cropland Data Layer,
333,CropScape,CropScape,
410,CTIS,CTIS,
426,Current Research Information System (CRIS),Current Research Information System (CRIS),
119,"Data Archive for the PSWC Meteorological Tower, Lubbock, Texas","Data Archive for the PSWC Meteorological Tower, Lubbock, Texas",
300,Data files,Data files,
427,Data Gateway,Data Gateway,
301,"Data on management effects on soil erodibility, redistribution rates, infiltration, evaporation, and salinity effects on soil erodibility","Data on management effects on soil erodibility, redistribution rates, infiltration, evaporation, and salinity effects on soil erodibility",
297,database,database,
310,DB browser,DB browser,
279,"Dell,  hp,  apple,","Dell,  hp,  apple,",
48,Digital Photo Indexes,Digital Photo Indexes,
390,Digitized Library Materials,Digitized Library Materials,
141,DigiTop,DigiTop,
327,DigiTop,DigiTop,
148,DNA and RNA sequences,DNA and RNA sequences,
139,Documenting Soil Archive Use in Peer-Reviewed Publications: 1915-2021,Documenting Soil Archive Use in Peer-Reviewed Publications: 1915-2021,
377,DOT TranServe System,DOT TranServe System,
250,Drone image data,Drone image data,
244,Drone Image Datasets,Drone Image Datasets,
360,Drone imagery,Drone imagery,
219,E Trap,E Trap,
314,Ecosystem Dynamic Interpretive Tool (EDIT),Ecosystem Dynamic Interpretive Tool (EDIT),
124,Eddy Covariance Data for Water Management,Eddy Covariance Data for Water Management,
257,Eddy Covariance Flux Tower Observations,Eddy Covariance Flux Tower Observations,
248,efile,efile,
407,E-file,E-file,
93,Elevation data,Elevation data,
362,Eligibility for Free and Reduce Price Meals,Eligibility for Free and Reduce Price Meals,
376,Employees Compensation Operations and Management Portal (ECOMP),Employees Compensation Operations and Management Portal (ECOMP),
203,EMpowerhr,EMpowerhr,
223,EMu,EMu,
249,endnote,endnote,
