,Var1,name
1,"•	Meals for Kids Sites",Meals for Kids Sites
2,"•	SNAP Retailer data",SNAP Retailer data
9,ACE,ACE
11,Aerial imagery and satellite imagery,imagery
12,AERMOD Meteorological NWS sounding data,AERMOD
13,AERMOD Meteorological Surface Data,AERMOD
14,Ag CROS,AgCROS
15,Ag Data Commons,Ag Data Commons
16,AgCros,AgCROS
17,AgCROS,AgCROS
18,AgCROS Data,AgCROS
20,Agricultural Collaborative Research Outcomes System (AgCROS),AgCROS
21,AgriMet,AgriMet
24,ALB Program Database,ALB Program Database
26,Ameriflux,Ameriflux
27,Ameriflux network,Ameriflux
28,"AmeriFlux, FluxNet",Ameriflux
29,Animal-Genetic Resource Information Network,Genomic data
31,APHIS e-file,E-file
32,ARC GIS,ArcGIS
33,ArcGIS,ArcGIS
34,"ArcGIS Collector, Survey 123 and Field Maps",ArcGIS
35,ArcGIS Field Maps,ArcGIS
36,ArcMap / Arc GIS Pro,ArcGIS
38,ARM,ARM Application and Data Mart
39,ARM Application and Data Mart,ARM Application and Data Mart
41,ARS Micronet,USDA Micronet
42,AWIS (Agricultural  Weather Information Service),weather
45,Big Spring Meteorological Tower,weather
46,Biosafety Clearing-House (BCH),Biosafety Clearing-House (BCH)
54,Climate data,Climate data
55,"Climate data sets (NOAA temeprature, wind, precipitation, humidity, solar radiation)",Climate data
56,ClimateNA,Climate data
58,Collected data set of canopy temperature,weather
59,Common Land Unit (CLU) Dataset,common land units
60,common land units,common land units
61,Common land units,common land units
70,Crop Data Layer,Cropland Data Layer
72,cropland data layer,Cropland Data Layer
73,Cropland Data Layer,Cropland Data Layer
77,"Data Archive for the PSWC Meteorological Tower, Lubbock, Texas",weather
79,Data Gateway,USDA NRCS Geospatial Data Gateway
84,Digital Photo Indexes,Photo
90,Drone image data,UAS imagery
91,Drone Image Datasets,UAS imagery
92,Drone imagery,UAS imagery
93,E-file,E-file
95,E Trap,eTRAP
97,Eddy Covariance Data for Water Management,Eddy Covariance Data
98,Eddy Covariance Flux Tower Observations,Eddy Covariance Data
99,efile,E-file
100,Elevation data,Elevation
106,Ensembl Genome Database,Genomic data
107,Enterprise Database Warehouse,Enterprise Database Warehouse
108,Enterprise DataWarehouse SDE,Enterprise Database Warehouse
111,"ERSI Database of Federal Lands, Tribal Lands (Authoritative)",ESRI Living Atlas
112,ESA Sentinel,imagery
114,ESRI,ESRI Living Atlas
115,ESRI Living Atlas,ESRI Living Atlas
116,eTRAP Admin Console,eTRAP
124,Farming Systems Project data,Farming Systems Project data
