"","Name","app_purpose","private_public","agency","ownership_status","Details"
"1","FUSION","Data Access","hybrid","FS","owned","FUSION provides fast, efficient, and flexible access to LIDAR, IFSAR and terrain datasets.

FUSION is a suite of software developed by station scientists to visualize and analyze airborne lidar data. The visualization components display project data using a 2D display typical of geographic information systems (GIS). Users interact with the 2D display to select subsets of LIDAR data for display in an interactive 3D visualization environment allowing the examination of spatially-explicit data subsets including lidar returns, images, surface models, and 3D objects (e.g. tree models). To support complex analyses, FUSION includes a comprehensive set of command-line tools that help users assess the overall quality and completeness of lidar data, develop a basic set of derived products, and automate a variety of processing and analysis tasks. FUSION also provides workflow tools to automate the application of these tools over large lidar datasets.

The analysis and visualization system consists of two main programs, FUSION and LDV (LIDAR data viewer), and a collection of task-specific command line programs."
"4","pyfao56","Model","public","ARS","opensource","Python-based formulation of the FAO-56 dual crop coefficient method for crop evapotranspiration estimation and irrigation scheduling

https://github.com/kthorp/pyfao56"
"5","GeoSim","Model","public","ARS","opensource","A model-independent, open-source geospatial tool for managing point-based environmental model simulations at multiple spatial locations

https://github.com/kthorp/GeoSim"
"7","ESRI",NA,"private","ARS","commercial","Arc GIS online and Desktop
DSSAT
https://www.arcgis.com/index.html
"
"11","CONCEPTS","Model","public","ARS","opensource","Computer model to simulate the impact of land use and land management on the physical integrity of the stream system."
"13","GIS Dataset Viewer","Data Viz","private","FPAC","owned","ESRI map document that provides access and visualization of GIS datasets used to fulfill customer aerial imagery requests."
"17","Salesforce/SpringCM",NA,"private","APHIS","commercial","A content holder for all regulatory documents."
"18","Soil and Water","Decision Support","private","ARS","owned","We create data bases. We use the data bases for existing decision support software and improving those decision support software. We also do a bit of software development."
"19","Integrated Farm System Model (IFSM)","Model","public","ARS","owned","A process level simulation of farming systems that estimates the performance, environmental impact and economics of production systems. A tool used to evaluate the potential benefits of alternative strategies for improving the sustainability of farms."
"20","At the FRR unit, we develop new plant materials for the range, pastures ,and turf.  As part of that process we have expanded the scope of research to include bioinformatics and high-through put phenotyping by using sensors on carts, drones, and satellites","Model","public","ARS","owned","The lab will be developing models predicting agronomic traits based on geospatial data.  This will include ground truthing.  The lab is currently working on models to predict bloom abundance from satellites to enhance the ability of honey farmers to utilize pollen better.  We are also working on a grant from BLM to model future habitat associated with climate change variables and wild horse habitat."
"22","Soil and Water Assessment Tool - SWAT watershed model","Model","public","ARS","opensource","SWAT is a watershed to river basin scale model designed to determine the impact of climate and land use and management on off site water quality and ag production. The model operates on a daily time step and requires data on soils, climate, land use and management, rivers, and reservoirs. It simulates runoff and associated sediment, nutrients, and pesticide fate and transport. It is currently used in national assessments to determine the impact of USDA conservation programs and to guide development of conservation policy. ARS is actively supporting and maintaining the model -
https://swat.tamu.edu/"
"23","Almanac simulation model","Model","public","ARS","owned","A process based, daily time step model for plant growth including water balance, nutrient balance, and NRCS soils info"
"25","RUSLE2","Decision Support","public","ARS","shared","Conservation planning tool. Primary user is NRCS."
