Name,app_purpose,private_public,agency,ownership_status,Details
Integrated Resources Management Analyst,NA,private,NRCS,private,A tool used to streamline communication between conservation planners and discipline leads.  It can also be used to quantify resource concerns based on spatial datasets entered into the tool and a designated spatial boundary.
Pacific Northwest Biochar Atlas,Decision Support,public,ARS,shared,"A decision support tool for biochar production and utilization. It allows users to identify soil deficiencies and find biochar that addresses those deficiencies, learn about biochar, and read case studies. It is available at PNWbiochar.org"
ARS digital tools,Decision Support,public,ARS,owned,"Several decision support tools have been developed by our ARS NRSAS scientists and are critical to empowering researchers and land and livestock managers with needed decision support. Tools include the ACPF, LandPKS, RuFaS model, IFSM, CQESTR, EDIT, Yield Editor, SWAT, APEX, and many others."
Agricultural Research Information System (ARIS),NA,private,ARS,owned,"Used to track spending, agreements, etc."
P-Trap: Phosphorus Transport Reduction App,Data Viz,public,ARS,freeware,P-Trap is a tool for designing custom site-specific P removal structures.  It also contains a database of P removal curves for many different filter media that I have measured over 15 years.
CATS (CRIS Allocation Tracking System),NA,private,ARS,owned,"Purchasing through government owned credit cards, tracking, approval."
National Finance Center: Employee Personal Page,NA,private,ARS,owned,"Personal employee information regarding earning statements, leave, tax."
Emergency Management Reporting System,NA,private,APHIS,owned,"As name implies, used in Disease Management including Resource management etc."
Agricultural Risk Management (ARM) system,Data Access,private,APHIS,owned,The Agricultural Risk Management (ARM) System is a web-based system that supports the operational and analytical needs of USDA APHIS PPQ and the Department of Homeland Security (DHS) Bureau of Customs and Border Protection (CBP) Agricultural Quarantine Inspection (AQI) programs.
Wind Erosion Prediction System (WEPS),Model,public,ARS,owned,"WEPS is a tool for predicting the effects of management practices and cropping rotations on wind erosion potential for specified field sites. WEPS is a state-of-the-art computer model that simulates daily wind erosion processes based on weather, management, crop rotations, and soil conditions."
Single-event Wind Erosion Evaluation Program (SWEEP),Model,public,ARS,owned,SWEEP is a tool for predicting the effects of land surface condition on a single day wind erosion event.
LAMPS (Landuse and Agricultural Management Practices web-Service),Model,public,ARS,opensource,"https://alm.engr.colostate.edu/cb/item/13580
"
Cadel (Catchment areas delineation) for the Ages watershed model,Model,public,ARS,opensource,"Cadel processes spatial data layers (DEM, soils, etc.) to delineate catchment areas or hydrological response units (HRUs) based on user inputs.  The backend service is fully operational, but the front end (web user interface) is being developed in collaboration with Colorado State University.  
https://alm.engr.colostate.edu/cb/project/cadel"
Ages (Agricultural and ecosystems services) watershed model,Model,public,ARS,opensource,"The Ages model (v. 1.0 to be released soon) is a modular, Java-based spatially distributed model which implements agricultural, ecological, hydrologic and water quality simulation components under the Java Connection Framework (JCF) and Object Model System (OMS) environmental modeling frameworks. Driven by daily meteorological data, Ages simulates plant-soil-water-nutrient interactions with dynamic plant development and growth based on the Unified Plant Growth Model (UPGM) and layered soils. Water, solutes and particles are routed laterally among Hydrologic Response Units (HRUs) and stream reaches with topology and routing generated by the Catchment areas delineation (Cadel) tool for each project. The OMS Console can be used for model deployment, providing a basic runtime interface. The open-source code is distributed via repositories, and an AgES executable (.jar) file and essential libraries are available to users who do not need the source code. AgES model-as-a-service is deployed using the Cloud Services Innovation Platform (CSIP) on public cloud platforms and private servers.  

Ages (v. 0.3.0) is currently available at:
https://alm.engr.colostate.edu/cb/project/ages"
Object Modeling System (OMS3),Model,public,ARS,opensource,"OMS is an open-source environmental modeling framework for developing and deploying models.  It was developed at Colorado State University in collaboration with USDA-ARS, USDA-NRCS, and USGS.
https://alm.engr.colostate.edu/cb/project/oms"
